Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1904,Saint Clair,NA,20,NA,362,NA,NA,NA,73
1904,Superior,NA,73,6557,31,NA,NA,NA,NA
1905,Erie,NA,222,NA,452,NA,0,0,659
1905,Huron,NA,6916,9166,4339,NA,NA,0,3743
1905,Michigan,NA,1623,4456,122,NA,0,0,763
1905,Ontario,NA,0,75,0,NA,0,0,176
1905,Saint Clair,NA,10,NA,306,NA,NA,680,48
1905,Superior,NA,88,6085,28,NA,NA,NA,NA
1906,Erie,NA,353,NA,397,NA,0,0,433
1906,Huron,NA,8040,8682,3477,NA,NA,0,4096
1906,Michigan,NA,1695,5103,212,NA,0,0,684
1906,Ontario,NA,0,108,0,NA,0,0,194
1906,Saint Clair,NA,15,NA,322,NA,NA,190,58
1906,Superior,NA,19,5588,25,NA,NA,NA,NA
1907,Erie,NA,370,NA,403,NA,0,0,591
1907,Huron,NA,7292,7914,3205,NA,NA,0,4573
1907,Michigan,NA,2288,4271,207,NA,0,0,554
1907,Ontario,NA,0,107,0,NA,0,0,169
1907,Saint Clair,NA,11,NA,317,NA,NA,0,93
1907,Superior,NA,10,4891,67,NA,NA,NA,NA
1908,Erie,NA,1810,NA,2733,NA,147,8983,2386
1908,Huron,NA,3742,6814,2262,NA,NA,407,2622
1908,Michigan,NA,2809,8631,209,NA,79,484,3557
1908,Ontario,NA,128,191,54,NA,0,21,124
1908,Saint Clair,NA,59,NA,175,NA,NA,300,79
1908,Superior,NA,283,4871,218,NA,NA,NA,NA
1909,Erie,NA,0,NA,0,NA,0,312,581
1909,Huron,NA,0,3330,573,NA,NA,0,58
1909,Michigan,NA,0,4371,156,NA,0,0,1063
1909,Ontario,NA,0,640,0,NA,0,4,108
1909,Saint Clair,NA,0,NA,90,NA,NA,79,109
1909,Superior,NA,0,3583,90,NA,NA,NA,NA
1910,Erie,NA,0,NA,0,NA,0,980,674
1910,Huron,NA,0,3690,417,NA,NA,0,116
1910,Michigan,NA,0,4337,91,NA,0,0,726
1910,Ontario,NA,0,413,0,NA,0,140,128
1910,Saint Clair,NA,0,NA,55,NA,NA,111,38
1910,Superior,NA,0,4227,114,NA,NA,NA,NA
1911,Erie,NA,0,NA,0,NA,0,645,847
1911,Huron,NA,0,4174,550,NA,NA,1,123
1911,Michigan,NA,1017,8166,214,NA,0,4,2072
1911,Ontario,NA,0,385,0,NA,0,86,214
1911,Saint Clair,NA,0,NA,68,NA,NA,225,67
1911,Superior,NA,100,3110,119,NA,NA,NA,NA
1912,Erie,NA,137,NA,134,NA,0,1618,1195
1912,Huron,NA,1320,4910,1068,NA,NA,184,4588
1912,Michigan,NA,1113,6561,164,NA,0,49,2388
1912,Ontario,NA,0,631,0,NA,0,36,123
1912,Saint Clair,NA,0,NA,58,NA,NA,73,81
1912,Superior,NA,268,3047,156,NA,NA,NA,NA
1913,Erie,NA,465,NA,422,110,42,2172,1824
1913,Huron,NA,1580,6032,1020,NA,NA,377,2384
1913,Michigan,NA,700,6305,165,NA,0,6,2935
1913,Ontario,NA,136,604,11,NA,0,62,153
1913,Saint Clair,NA,0,NA,67,NA,NA,133,76
1913,Superior,NA,240,4228,88,NA,NA,NA,NA
1914,Erie,NA,1351,NA,1866,584,109,13419,3447
